Rating,Tanggal,Nama,Ulasan
5,2024-07-24T07:32:07.766Z,nuklear adiwena,Agak pricey tp oke banget
5,2024-07-24T07:20:27.409Z,dynanti asfikarani,"Bikin nagih, nyandu pengen kesana lagi"
5,2024-07-24T01:21:37.726Z,aryane kurnia,Makananny enak...suasananya adem bikin betah aj...dan pelayananny ramah banget...semoga tambah sukses ya pawon mbah gito selalu ramai dikunjungi dan berkah...
5,2024-07-23T15:42:30.505Z,Kinan Ardita,"Kesini bareng temen-temen, ada yg pesen makanan langsung (lewat waitress, ada yg ambil prasmanan langsung), dan semua makanannya enak!!!! Murah juga????
Sayangnya kesini pas malem jd pemandangannya gak gitu keliatan tapi tetep enakeunnn tempatnya!!!

Sukses terus Pawon Mbah Gito, Bismillah semoga bisa cepet kesini lagi!!!!??"
4,2024-07-23T14:03:31.078Z,Gina Putri,"Opsi makanan nya banyak, enak, tempatnya nyaman luas dan kids friendly. Makan ber 14 cuma habis 500rb an jadi harganya sangat masuk diakal"
5,2024-07-22T16:09:16.347Z,Rarity12,tmptnya nyaman bgt kek rmh nenek
5,2024-07-22T14:46:51.327Z,Priyanto Utomo,Satu kata: Enak
5,2024-07-22T02:29:45.195Z,Widowati Proborini,"Makanan nya enak, saya pesan ikan mangut, kering tempe, pisang goreng es dawet, semua nya uwenak puollll. Makan disuguhi Pemandangan sawah hijau. Ada musolla juga. Enak tempatnya meski jauh"
5,2024-07-22T01:54:31.665Z,gerrard leon,"enakkk makanannya , segerrr suasananya
mantappp
rasakan kenikmatan nya makanan pawon mbah gito, serasaaa pulang ke rumahhh dan dimasakin makanan sama mama sendiriiiiii
saking nostalgianya ??????"
5,2024-07-22T00:38:15.483Z,Soni Nurjaman,"Mantappp masakannya gak pernah bosan untuk sarapan disni??????
Pegawainya juga ramah , semoga makin larisss manisss"
1,2024-07-21T05:50:00.027Z,RISTRA ADIATAMA,"Parahh... pelayanan kebersihannya, meja belom bersih malah disuruh duduk di mejanya, pelayanan gmn ini, konsumen udah berat2 bawa makan ke meja makan yg di suruh, ehh... ternyata meja makannya masih bekas orang belum dibersihkan.
Aneh nya lg pegawai MALAAZZZ... udah tahu dn lihat ada orang bawa makanan dn udah duduk dimeja yg masih kotor sesuai arahan petugas order. Ehhh... ini cm di lihatin doank sm yg bersih bersih.... padahal udh di panggil tp sok sok gak lihat.., kacau... MANAGEMENT/SPV nya di cek lg lah ini jangan makan gaji buta.... sekian, terimakasih masakannya, but NO untuk pegawainya..."
5,2024-07-21T05:01:04.814Z,Bu Mijo,"Menu masakan jawa, rasanya enak, tempatnya luas dan nyaman. Lokasi di daerah pedesaan, mewah (mepet sawah) parkirannya luas. Dijamin betah nongkrong disini"
5,2024-07-21T01:26:48.860Z,Wisnu anugrah pratama,"Tempat yang bagus untuk membawa keluarga Anda untuk makan siang atau makan malam. Restoran ini menyajikan masakan Jawa rumahan dengan beberapa menu modern juga.

Anda akan merasakan gaya ""prasmanan"" atau melayani diri sendiri di sini. Makanannya enak & harganya masuk akal."
5,2024-07-19T22:43:37.390Z,Girda,Tempat makan yang sangat nyaman dan bersih. Makanannya sangat enak dengan rasa khas masakan jawa. Harganya sangat terjangkau. Sangat memuaskan !
5,2024-07-19T13:55:43.844Z,Ilham Rifandi,"Kalau pergi ke tempat makan seperti ini bawaannya ingat keluarga besar. Pengen boyong orangtua dan mertua ke sini karena bakalan suka banget dengan makanannya yg otentik dan suasananya yg nyamanin parah. Ada mkanan untuk orang dewasa dan juga untuk anak-anak, lengkap variannya."
5,2024-07-19T12:00:07.081Z,chandra gutama,recommended banget sih ini .
5,2024-07-19T05:56:31.672Z,Dio Kurnianto,"Makanan enak, suasanya tempat nyaman seperti dirumah"
5,2024-07-19T00:42:58.217Z,UlasanReal,"Lumayan jauh dari hotel yg kami nginap ke resto ini, sekitar 30 menit. Tp Masya Allah cape terobati dengan suasana dan juga banyak pilihan menunya. ??"
5,2024-07-18T13:28:16.278Z,Tugu Kota Cilegon,Nyaman & Mengesankan dengan suasana pedesaan serta menu makanan rumah
5,2024-07-18T12:59:41.251Z,Ayu,"lokasi cukup strategis, parkir cukup luas, tempat bersih.jam 7 pagi sudah buka, dan ga antri banget. menunya variatif, rasanya enak banget (rekomendasi telor dadar), mejanya cukup banyak, viewnya bagus langsung ke sawah, toilet bersih, ada musholla juga, harga cukup terjangkau (tergantung menu).
rekomendasi banget buat kulineran di Jogja."
5,2024-07-18T08:55:34.420Z,Kusuma Yudha,"Belum nyoba semua seh, selalu rame di jam makan siang, banyak opsi menu.
Pembayaran bisa Qris (kalau diatas 150rb ya)"
5,2024-07-18T02:27:43.162Z,Tripku Jogja,"Sangat recommend secara keseluruhan
Menunya banyak dan enak
Suasananya cakep"
4,2024-07-17T08:33:52.243Z,Hanif Nurjelita,Mau bayar pke qris trnyta pembelian min 150rb baru bs.. akhirnya byr cash untung nya bawa uang cash..
5,2024-07-17T05:36:37.972Z,Asep Hendrawan W,"Tempat cukup nyaman, sejuk & asri. Bisa pilih makanan yg langsung tersedia ala prasmanan. Cukup rekomen untuk bersama keluarga, teman atau sekedar ngopi + goreng pisang....
Tempat parkir lumayan luas......"
2,2024-07-16T18:03:14.521Z,Angel Riesa,Terima kasih banyak atas bantuan Anda.
5,2024-07-16T03:45:52.564Z,Eka Fisha,Nyaman
5,2024-07-15T15:02:59.443Z,Ibok Tina,Pesan minuman judulnya enakkk wedang2 nya unik dan otentik
5,2024-07-14T16:42:57.583Z,Edy Effendi,"Masakannya cocok, enak..."
5,2024-07-14T13:38:54.449Z,B P,Restoran tradisional terbaik di jogja ????
5,2024-07-14T12:48:09.806Z,Diah Dianingtyas,"Sayur dan lauknya beragam dan enak. Harganya cukup murah. Tempatnya nyaman dan cukup tenang. Minumannya beragam tetapi harganya agak mahal menurutku. Pelayanan cukup baik, cuma kmrn minuman yg dipesan agak lama datangnya. Makanan sudah habis minumanya blm datang hahahahaha...tapi mungkin karna ramai."
4,2024-07-14T06:44:26.684Z,Nisa,suka banget sama makanannya beneran rasa jawa banget. ngingetin sama masakan mama. cuma satenya merah agak kurang konsisten. ada kalanya enak. kadang kepedesan kadang kemanisan. untuk pelayananya oke banget disini. pesen wedang sereh juga lama banget sampe makannya udah habis. mungkin harus beli di pasar dulu ??
4,2024-07-14T03:53:14.091Z,papabay,"Impresi pertama: lantainya disapu lagi setelah pengunjung selesai makan.
Crewnya sopan, masakannya enak.
Sepoi-sepoi cocok buat bersantai."
4,2024-07-14T01:16:51.481Z,Kamaluddin,"Suasana nyaman, makanan recommended mngkin harga agak terlalu mahal... Persepsu pribadi"
1,2024-07-13T06:22:25.045Z,Novan Doni,Rasa makanan sangat biasa&harga makanan tergolong mahal"&tidak ramah dikantong
4,2024-07-13T06:12:20.870Z,Triwidodo Ichijyo,"Tempatnya enak dan nyaman, dengan air alami dari gunung merapi ( kata karyawannya) untuk mengaliri kolam ikan dan sungai buatan, serta prmandangan sawah. Ada angsa dan burung Cockatiels jinak yang bikin anak-anak suka. Rasa makanannya biasa saja sih.

Nice place with ponds filled by natural water directly from mount merapi (according to the employee's info), artifial creek, and rice fields view. There's a goose and cockatiels that make children happy. But the foods taste are average."
5,2024-07-13T05:04:17.241Z,Fifi,"Tempatnya bagus, nyaman dan cocok buat ajak keluarga atau teman.
Makanannya pun enak, better kayaknya dateng sorean biar agak adem"
5,2024-07-13T00:13:36.542Z,Adilla Carolina,"Tempat nya lebih luas skr, makanan byk pilihan, rame2 sama keluarga jg ok makan disini."
4,2024-07-12T18:46:15.204Z,bernard goni,"Ciri khas makanan rumahan yg menggugah selera, di tambah suasana pinggiran sawah melengkapi sore di Jogja ??"
5,2024-07-12T06:55:49.801Z,Bayu Nugroho,"Makanan dan suasana benar benar oke, karena masih waktu liburan sekolah dan weekend jadi cukup padat dan pelayanan cukup terpengaruh akhirnya ada miskom untuk pesanan minumnya, tapi untuk lainnya sudah oke ??"
5,2024-07-12T06:52:26.497Z,nikmat tea,"Rumah makan yg nyaman banget, makannya menu sederhana kaya kampung halaman, telor dadar, sayur daun pepaya, dll.

Suasana jg nyaman, pemandangannya jg mantep bgt area persawahan. Dan mantep banget buat menuhin memori hp.

Disini jg ada mushola dan toilet. Lengkap pokonya. Area parkir jg cukup luas"
5,2024-07-12T03:19:34.256Z,Nisa,"Pas datang, masuk disambut staf, ditanya udah reservasi belum jg ditanya brp orang, yg selanjutnya staf td akan mencarikan tempat duduk yg pas buat kami. Mantappp, pelayanan yg bagus. Setelah itu disuruh masuk lsg ambil menu dan ke kasir utk dihitung tp tdk lsg bayar, bayar nanti setelah makan. Menunya macem-macem, makanan tradisional. Tp menu anak anak jaman skrg juga ada, jd buat kami sekeluarga cocok dan pas. Toilet juga bersih, mushola nyaman. Musik yg diputar jg nyaman, musik"" tempo dulu. Makan sambil ditemenin angin semilir, nyaman deh."
5,2024-07-11T12:04:48.112Z,Sahabat Review Jujur,Tempat makan yang direkomendasikan??
4,2024-07-11T11:54:34.520Z,Raja,Juoszz Tuenan
2,2024-07-10T10:19:05.278Z,Nat,"Layanan ini pasti membutuhkan beberapa perbaikan. Gadis dengan HT terlihat sangat lelah dan sibuk, tapi ternyata tidak. Saya seorang pecinta kuliner yang selalu mencari makanan enak dan layanan hebat, tapi bagi saya tempat ini meleset dari sasaran. Oh, kecuali pisang gorengnya—enak sekali!

Bahkan Kopi Klot*k, dengan banyaknya pelanggan, selalu berhasil dalam pelayanannya. Silakan belajar dari mereka :)

Bagaimanapun, latih staf Anda lebih baik dan Anda akan mendapatkan umpan balik positif dari pelanggan. Itu kuncinya. Terima kasih!"
3,2024-07-09T23:39:23.311Z,Wulandari Unggul,"Jam setengah 7 tp menu prasmanan sudah banyak yg habis jd terpaksa pesan menu yg di papan. Untuk mie lethek rasanya oke, tp pesanan yg lain datangnya lama sekali, bahkan ada 1 menu yg hrs dicancel saking lamanya. Nasinya juga keras, seperti nasi tidak matang. Wedang jahe serehnya dibuat asal2an, hanya dituang air anget, bukan air panas. Perlu diperbaiki lagi standar penyajiannya, jangan mentang2 rame lalu asal2an."
5,2024-07-09T08:52:18.522Z,Aji Kiyat,"Enak, tempat asyik, tapi kadang harus sabar buat antree"
5,2024-07-09T08:15:37.275Z,mujo surono,"Tempatnya asyik dan bersih, vibesnya modern minimalis"
4,2024-07-09T03:28:30.032Z,aderunome,Aku memang kurang suka makanan manis meskipun pernah hidup di jogja cukup lama. Tapi service nya bagus. Atmosfer nya juga enak
5,2024-07-08T03:22:26.963Z,Raos Eco,"Makanannya enak, tempat nyaman banget. Syuka akunya??"
3,2024-07-07T22:22:14.543Z,Evrisya Glorys,"Tempatnya semakin diperluas, semakin nyaman.."
5,2024-07-07T14:12:00.043Z,Ivan Pradana,"Salah satu resto Hidden Gem yang lokasi nya tidak dekat dengan jalan utama. Tempat nya bernuansa tradisional dan nyaman sekali , terdapat pemandangan sawah dan suasana nya tenang. Makanan nya terjangkau dan rasanya enak"
4,2024-07-07T08:55:14.470Z,Wahyu Wulanningtyas,"Aneka masakan dan minuman yg enak rasanya...  Makan berat tersaji prasmanan, aneka snack dan minum pesan di kasir. Di hari minggu pagi sy datang, antrean panjang di tempat prasmanan makanan mungkin krn tempat agak sempit di area makanan. Mungkin bisa dibagi 2 lajur shg tdk antre panjang.
Saya suka Pisgor dan bakwan jagung .. Utk makan berat , rasa di atas standar.. enak ."
5,2024-07-07T07:01:30.317Z,Sabrina paramitha,"Tempat makan makanan tradisional..
Dengan aneka menu ""ndeso""..
Wajib coba minuman ""wedang mbah gito""..
Ada mushola dengan konsep terbuka..adem..
Parkiran luas..
Cenderung ramai saat jam makan siang..
Buka jam 07.00 - 21.00 (weekday) dan 07.00 - 22.00 (weekend)"
4,2024-07-07T03:37:30.623Z,Agus Setiawan,Tempatnya asri ada kolam ikan dan angsa...tempat duduk nyaman
5,2024-07-06T16:34:36.193Z,Edwin Wijayanto,Makanan yang sangat murah dan berkualitas baik
5,2024-07-06T04:07:25.747Z,Ella Arunityas,"Masuk, antri meja karena emang pas musim liburan
Setelah dapat, antri lagi utk ambil makan bentuk prasmanan
Makanan minuman macem², masakan jawa rasa masakan cukup enak
Tapi saya lebih suka gorengannya: tempe goreng, pisang goreng n bakwan jagungnya kriuk² enak
Tetep teh ndeso panas favoritnya, khas² teh jogja solo

Setelah makan kenyang masih antri lagi buat bayar"
5,2024-07-06T02:08:12.172Z,anang k,Lokasinya bagus dan bila makan malam disini suasananya mendukung
5,2024-07-05T07:49:44.014Z,Supriono SPD,Tempatnya yg estetik minuman rempah yg menyegarkan dan menyehatkan
5,2024-07-05T02:44:05.226Z,Fenita Fransisca,"Pas jam makan siang cukup ada antrian karena sistem ambil sendiri.. rasa makanan oke semua, hanya tempat agak jauh dr pusat kota"
4,2024-07-04T11:11:38.754Z,Peny Pujiati,"Suasananya enak, makanannya biasa saja sih, mungkin karena lama disajikan jadi menurut saya kurang fresh. Harga untuk ukuran Jogja, cukup mahal. Kayak harga di Jaksel ??."
5,2024-07-04T02:29:25.135Z,nanz aboey,"Makanan aslinya enak sekali....tempatnya juga nyaman, sangat menyenangkan mengunjungi tempat ini"
5,2024-07-03T22:37:25.544Z,Emi Purwati,"Tempat makan enak, teratur pelayanan nya, tertata dr awal kursinya... pemandangan sawah, kolam ikan"
5,2024-07-03T22:06:42.670Z,wiwiek ws,Sekarang tempatnya tambah luas dan lebih nyaman
5,2024-07-02T21:12:37.475Z,Ety Herlina,Makanan enak tdk mengecewakan
5,2024-07-02T07:20:11.051Z,Subhi Rauf,"jauh2 dari jakarta buat nyobain resto ini. enaknya dari jam 7 udh buka, blum dpt hotel jd bs kulineran dulu. worth it. makanan dan minuman nya msh murah. kopi2an dan jus udh mahal. view nya the best, langsung sawah dan jauh dari keramaian."
5,2024-07-01T11:31:33.201Z,alfiyan tabligh,Tempatnya sangat nyaman... suasana pesawahan dan desa sangat kental...
5,2024-07-01T03:58:07.344Z,Sari Cibubur,"Lokasi mudah diakses. Makanan banyak pilihan, harga bersahabat"
5,2024-06-30T04:28:41.102Z,Yulis Rustyawan,"Bapak yg parkir rajin2, ramah, mengarahkan, ini yg bikin nyaman meskipun tempatnya penuh sesak"
5,2024-06-30T02:36:28.792Z,Rama Journey,Rekomendasi
5,2024-06-29T08:32:09.053Z,Ulfa Kamilatus Syifa,"Makanan udah banyak yg ulas
Tempat banyak yg ulas??
Yg saya sangat suka disini itu pelayanan karyawannya cepet banget, slalu stanby, gercep beresin yg kotor dan monitoring customer yg ingin pesan, pesanan nyampe juga cepet padahal di hari libur. Good job front office dari pawon mbah gito. Proud!"
5,2024-06-29T01:07:52.066Z,Ayda Sulianti,"Seru banget si makan di situ..
Tip terbaik saya adalah .. hindari datang sekitar jam 12 siang hingga 13.30 .. mereka penuh sesak .. dan sulit untuk mendapatkan atau memilih meja yang Anda suka juga, antrian panjang untuk warung makan

Mereka melayani hybrid semua yang dapat Anda ambil dan item individual:
Untuk sayuran : sepuasnya + nasi (1 kali ambil) = Rp. 14K (maks 2/3 sayuran)
Selain itu, itu dihitung sebagai item individual.

Makanannya sederhana dan enak!
Gaya dan rasa masakan rumahan.
?? dia!

Tempatnya seperti rumah dengan banyak area teras dan sedikit sawah.. furnitur kayu, outdoor tanpa AC.. suasana pedesaan..
Saya harap tempatnya bisa lebih bersih.. dan sejuk..

Walaupun ala kampung, tapi stafnya menggunakan handy talky untuk berkomunikasi satu sama lain, sehingga cukup cepat membantu kebutuhan kami.

Uniknya, mereka juga menyajikan beberapa kue-kue modern..?? ??..

Pasti akan kembali! Dan akan mencoba kuenya.."
4,2024-06-28T03:30:04.126Z,Wirawan HD,"makanan standar rumahan, harga ya lumayanlah ga mahal ya gak murah, pelayanannya super ramah. Wedang sere nya enak tp americano nya kurang strong ??."
5,2024-06-26T15:22:19.868Z,Lita Bmy,Banyak Susana baru dan sport foto yg menarik ?? semoga bisa berkunjung kembali dilain waktu ????
5,2024-06-26T15:08:10.799Z,Kurniati Kurniati,"Pisang gorengnya enak, benar2 dihidangkan  masih panas....saya suka sekali"
1,2024-06-26T12:58:10.112Z,Diana,"Maaf, harus edit rating.
Ini adalah ketiga kalinya dikecewakan disini:
Ke-1. Tidak boleh menempati meja besar padahal kami dtg ber4.  Setelah kami ditolak, tidak lama kemudian ada pengunjung datang yg duduk di meja besar padahal cuma berdua dan hanya memesan menu jauh lebih sedikit daripada yg kami pesan
Ke-2. Ditemukan karet pada bakwan yg disajikan. Dan donat masih keras bagian dalamnya.
Ke-3. Pesan chicken cordon bleu tapi hingga 1 jam menunggu, pesanan blm diantarkan. Ketika beberapa kali ditanyakan, jawabannya selalu ""masih diproses"". Pesanan lain (kids platter, nasgor, dan snack2) sudah diantar dan bahkan sudah dihabiskan  Tapi chicken cordon bleunya blm jg diantar. Anehnya meja2 lain yg datang setelah kami sudah mendapatkan menu2nya.
Ketika ditanyakan kembali ke bagian pemesanan, diinfokan kalo msh diproses 20 menit lagi.
Sebenarnya pesanan saya dibuatkan atau tdk ya? Knp kok dijawab ""proses"" trs.
Apa butuh waktu lama untuk menyiapkan pesanan trsebut? Ada apa dgn sistem antrian di kitchennya? Apa menu saya terselip atau gmn? Apa jawaban ""sedang diproses"" ini hanya sekedar template tanpa ada konfirmasi ke bagian kitchen?

Sebenarnya dr sisi rasa, tidak mengecewakan. Hanya saja dari sisi service, kami cukup kecewa.

Jika memang perlu waktu lama, sebaiknya menginfokan di awal. Jadi customer ada pertimbangan apakah tetap memesan menu tersebut atau tdk."
1,2024-06-26T12:44:47.484Z,oktavian bagus,"Saya sudah belasan kali ke sini, tapi makin hari makin payah.

Satu.
Kualitas makanan perlu diperbaiki. Dulu donatnya oke, skrg ndak oke.. masih beku bagian dlm tp sudah disajikan. manasinnya kurang lama.

Dua.
Ada kalanya saya beli bakwan bonus karet gelang!!
KARET GELANG!! Tahu sendiri resikonya kalau sampai tertelan.

Tiga.
kualitas manajemen antrian juga makin payah. Anak saya pesan Chicken Cordon Bleau, sudah sejam belom datang, sebelumnya sdh saya tanyakan waiter berkali2, jawaban template ""sedang diproses"". Saat saya tanyakan ke kasir, dibilang kalau antrian terkendala yg sdh reservasi dan harus nunggu 20menit lagi. Mending cancel.

Empat.
Sehat.

Lima.
Sempurna.

Dah. Gitu aja ya, mbah.."
5,2024-06-25T23:18:10.169Z,Ihsan Mutaqin Algifari,"Alternatif warung kopi klotok jogja. Pilihan menu makanan nya bener2 banyak bgt sampe bingung mau pilih yg mana wkwk. Telur dadar nya enak bngt sih yg di sini.
Tempatnya cukup luas, pemandangan nya sejuk, banyak spot utk berfoto, trs ada kolam ikan, dan ada angsa beserta telor angsa nya jg. Ada kopi khas nya jg.
Cuma pelayanan nya agak kurang, karyawan nya kurang senyum, tukang parkir nya kurang bertanggung jawab, kyk males2an gitu."
4,2024-06-25T11:02:51.827Z,Ahmad Fatah,Makannya enak TPI untuk satenya mahal 11rb 1 tusuk
5,2024-06-25T11:02:37.861Z,Lenny Wilsen,Makanan rumaahan yg lumayan enak
3,2024-06-25T09:00:57.578Z,rif,Standar
4,2024-06-25T05:15:25.172Z,Riva Farhiah,"Cobalah makan di sini. Makanannya enak, makanan khas rumahan.
Itu hanya sedikit mahal bagi saya.
Tapi kalau mau coba, bagus sekali :)"
5,2024-06-24T10:53:50.612Z,Aminah,"Tempat makan dengan menu berbagai macam ragam nya, dengan rasa yg enak, suasana yg nyaman dgn pemandangan sawah yg indah , pelayanan yg sangat baik"
5,2024-06-23T23:01:11.814Z,Syifa Meikhana,"enaakkk, recommended buat makan bareng keluarga??"
4,2024-06-23T10:24:53.814Z,Rifki Kiki,"Makanan Rumahan Ala ala Desa, Makanannya Enak"
5,2024-06-23T04:54:40.211Z,anggun desi wulandari,"Salah satu tempat makan yg menyajikan kuliner ndeso yg lengkap, datang kesini jam 11 dan tidak antri, tempat luas, dan kids friendly"
5,2024-06-22T16:46:13.035Z,Januar Effendy,"Datanglah lebih awal. Datang sekitar tengah hari di akhir pekan. Antrean panjang yang sangat ramai dan lambat. Saya pikir karena makanannya disajikan secara mandiri, beberapa orang membutuhkan waktu lebih lama untuk memilih makanan dalam jumlah besar. Ada lebih banyak makanan di menu di luar layanan mandiri. Saya baru tahu ketika saya memesan minuman dari menu. Suasana santai meski ramai. Area makan terus diperluas untuk menampung lebih banyak tamu."
1,2024-06-22T11:03:24.914Z,Aditya Chrismon,Tidak direkomendasikan
1,2024-06-22T03:47:25.361Z,Barita Jaromni,"Suasana dan makanan enak sih,tp yg bikin males tukang parkirnya,cuma duduk aja ga bantuin keluar masuk mobil"
5,2024-06-19T23:27:10.017Z,Husein Rifki,"Sudah yang kesekian kali kesini untuk makan pagi atau makan malam. Tapi saya lebih suka kesini untuk makan pagi (edit salah ketik )karena mencari makanan prasmanan yang banyak pilihan makanan. Dari aneka sayur oseng sampe yang berkuah kaya lodeh, persatean, telor krispi dan ikan atau ayam berbagai olahan masakan. Kalau saya kesini paketan combonya ini nasi-sayur oseng daun pepaya-lodeh tempe-oseng kikil-suwir ayam pedas-telor krispi-tempe garit+ sambal. Snack pisang goreng atau tahu tuna. Saya pribadi kurang suka dengan gorengan tempe mendoan disini. Minumnya wedang mba gito atau kopi tubruk mbah gito+skm"
5,2024-06-19T01:37:12.517Z,Icah Aisyah,"Tempatnya dan makanannya khas jawa. Cukup banyak variasi pilihan menu makan dan minum. Untuk harga masih terjangkau.

Tempatnya sudah di perluas di banding tahun lalu kita kesini. Tapi kalo siang cukup terik karena di tengah sawah.

Ada tambahan kolam ikan koi dan angsa putih untuk anak-anak."
5,2024-06-18T16:31:05.889Z,Egi Winata Winata,Sangat lezat dan gurih
5,2024-06-18T09:34:08.970Z,Arif Laksono,"Pertama masuk ke Rumah Makan Pawon Mbah Gito langsung disambut penuh sesaknya orang berantrian mengambil menu makanan.

Rasa makin penasaran dengan masakannya. Memang diakuin the best semua menu makanannya.

Model prasmanan atau ngambil sendiri makanannya, tempatnya luas bisa untuk keluarga besar. Untuk parkir kendaraan sangat luas. Kalau penuh bisa diarahkan ke kantong parkir di sebelah rumah makan ini.

Menurutku ga ada yang zonk sih masakannya. Kalo ke Jogja wajib kesini"
2,2024-06-16T13:53:36.437Z,Kemal,"prasmanan habis, menu a la carte lama bgt utk penyajiannya.. makanan datang tp nasinya habis, jd masih harus nunggu lg"
5,2024-06-16T08:11:15.203Z,Ika Dessyta,"makanannya enak, paling suka sama ceceknya, es teh ndesonya bener2 medok khas es teh jogja, dan kalo ke sleman bakal balik ke sini lagi. Harga juga murah meriah."
5,2024-06-15T08:22:28.529Z,Yuan Veda,Makanannya enak dan pelayanannya ramah semua.
5,2024-06-15T03:01:44.143Z,Rully Agustine,"tempat nyaman ditengah sawah, sejuk, makanan enak, pelayan ramah, bisa bawa teman atau keluarga, parkir mobil ok"
5,2024-06-15T01:27:15.579Z,Riz Anugerah,"Tempat nya nyaman buat santai
Buat family juga ok

Parkiran luas

Saya paling suka
Minuman ini"
5,2024-06-14T23:41:44.792Z,Ama Hanifah,"Suasana rest yg asri dgn view sawah, masakan rumah yg enak2, auto kalap sih . Harga sangat terjangkau"
5,2024-06-14T01:06:38.239Z,Hanni Iskandar IYC,Seru
5,2024-06-13T09:30:51.074Z,Wied Taslim,"Makanan rumahan prasmanan dengan variasi lauk dan sayur yang sangat beraneka. Tempatnya nyaman dan luas, sepertinya berkembang dan lagi direnovasi di salah satu sudut. Parkiran juga sekarang diperluas, mungkin karena pengunjung kian rame. Saran saya kalo mampir ke sini jangan pas jam makan klo ga mau antri panjang...saya suka????"
5,2024-06-10T14:27:24.870Z,Nina Runting,"Sarapan asyik,menu lengkap dan harga terjangkau..."
5,2024-06-10T09:17:16.173Z,Fatma Alfa Dila,"Tempatnya nyaman, buat kumpul bareng keluarga teman atau saudara. Pemandangan nya sejuk asri, aesthetic & instagramable buat foto foto. Menu makanan sama minumannya juga lumayan enak"
3,2024-06-10T06:04:50.288Z,laras aditya,Banyakin toilet dong sumpah toilet cmn 2 di pintu masuk 1 sm di blkng cmn 1. Pengunjung rame terus ?? jd ngantri toilet nya agak ribet ??????????
5,2024-06-10T05:40:42.426Z,hendrik panggalo,"Tempat makin luas, layanan pun makin berkelas."
5,2024-06-08T02:02:45.987Z,Grita Nilakandi,"pilihan lauknya banyakkk sistem prasmanan
paling suka soun nya sama sayur lodehnya medok rasanya drpd sebelah hehe??
viewnya sejukkk sawah sawah kalau sore lebih adem
cocok buat kumpul sama keluarga??"
5,2024-06-07T09:32:25.674Z,Aulia Sekar Azizah,cocok untuk makan bersama orang tersayang! ??
5,2024-06-06T23:46:00.638Z,Pradipta Atmokotomo,"tempat yang luas dengan ambience suasana pedesaan dan rumah jawa, ditambah dengan kolam-kolam ikan dan angsa, serta pilihan makanan dan minuman yang beragam, ada yg prasmanan dan per menu jg seperti bakmi, nasi goreng, serta dessert kue dan roti.. minuman coffee dan non coffee, yang khas jawa juga ada.. sering dikunjungi wisatawan luar jogja."
5,2024-06-06T15:19:28.164Z,Widya Up,"Saya sering datang ke sini...
Untuk harga lumayan mahal, tapi pilihan lauknya banyak,
Sekarang ada kuenya juga"
2,2024-06-05T17:19:38.385Z,Saya Nissa,"Beberapa waktu lalu saya mengunjungi Pawon Mbah gitu dan ada beberapa hal yang saya kurang puas :
1. Makanan prasmanan yang tersaji tidak sebanyak di foto/video promosi. Pilihan menunya sedikit sekali banyak yang kosong hampir habis
2. Saya pesan bakmie jawa dan saya kaget ternyata pakai ayam negeri. Seharusnya bakmie jawa pakai ayam kampung dan baru kali ini bakmi jawa saya menemui pakai ayam negeri. Bahkan beli di pinggir jalan pun kalau bakmie jawa pasti ayam kampung
3. Saya pesan Sup Iga 4 porsi datangnya cukup lama dan setelah datang KURANG PANAS. Hanya anget saja. Tidak seperti sop yang saya makan di kebanyakan restoran pasti panas sampai ber asap. Tapi kemarin tidak
4. Piring yang dipakai sudah rusak retak pinggirannya sehingga berbahaya apalagi itu makanan chicken corden blue untuk anak bisa melukai anak-anak.

Jujur saja saya ber ekspektasi tinggi sekali dengan Pawon Mbah Gito tapi saat saya datang TIDAK sesuai bayangan.
Semoga bisa lebih di tingkatkan lagi semuanya."
5,2024-06-05T13:45:17.771Z,Marcella Chandra,"Kami pergi ke sana setelah makan di beberapa restoran, jadi kami tidak memesan banyak. Kami memutuskan untuk memesan mie lethek goreng dan itu tidak mengecewakan! Bumbunya pas, gurih dengan sedikit rasa manis sesuai selera."
5,2024-06-05T08:52:24.316Z,agung triyanto,Enak murah
5,2024-06-04T07:24:48.887Z,yuni Anti,"Makanannya enk, model prasmanan
Tempatnya sejuk d kelilingi sawah"
5,2024-06-04T06:19:10.747Z,HNi Story,"Menu nya buanyak & rasa enak????????
Tempatnya asik,adem,
Pelayanan nya oke"
5,2024-06-03T11:33:54.752Z,Dasa Widyaiswanto,"Masakannya mantap, dengan view pinggir sawah"
1,2024-06-02T07:03:11.087Z,Irawati,Layanan mengecewakan.. karyawan kaku ga punya hati
1,2024-06-02T06:52:55.522Z,Risha Jogja,"Tempat ini Sangat tidak ramah untuk difable..

tempatnya banyak tangga dan tidak ada akses unt difable.. ibu saya lansia, sudah kesulitan jalan dan hrs pake kursi roda krn ga ada pilihan memutuskan lewat belakang yg jalannya datar tanpa tangga.. sygnya kami tidak diperkenankan lewat jalan tersebut dan diminta unt tetep lewat jalan utama yg perjuangannya bakalan membuat ibu saya merasa kelelahan sgt, merasa tegang krn naik turun tangga dan hrs memutar (butuh waktu yg cukup lama unt proses ini) sgt tdk praktis unt para difable

Bagus sih karyawannya berusaha ikutin rules tapi mgkin jg hrs mempertimbangkan dari sisi kesehatan pengunjung diffable.. ??"
